date,value,ma_value,lg_ma_value
1/1/2022 13:00,1.36E+02,#N/A,1.788875116
1/1/2022 14:00,7.80E+01,#N/A,1.679730646
1/1/2022 15:00,1.10E+02,#N/A,1.906694111
1/1/2022 16:00,2.30E+01,#N/A,2.15075644
1/1/2022 17:00,5.00E+00,#N/A,2.352504099
1/1/2022 18:00,1.70E+01,6.15E+01,2.451786436
1/1/2022 19:00,5.40E+01,4.78E+01,2.540746464
1/1/2022 20:00,2.75E+02,8.07E+01,2.600791448
1/1/2022 21:00,4.75E+02,1.42E+02,2.62872942
1/1/2022 22:00,5.25E+02,2.25E+02,2.617175143
1/1/2022 23:00,3.52E+02,2.83E+02,2.586024382
1/2/2022 0:00,4.03E+02,3.47E+02,2.604586015
1/2/2022 1:00,3.63E+02,3.99E+02,2.636822098
1/2/2022 2:00,4.34E+02,4.25E+02,2.696793085
1/2/2022 3:00,4.08E+02,4.14E+02,2.697955466
1/2/2022 4:00,3.53E+02,3.86E+02,2.695189714
1/2/2022 5:00,4.53E+02,4.02E+02,2.681241237
1/2/2022 6:00,5.89E+02,4.33E+02,2.631781873
1/2/2022 7:00,7.48E+02,4.98E+02,2.532966592
1/2/2022 8:00,4.42E+02,4.99E+02,2.366734168
1/2/2022 9:00,3.89E+02,4.96E+02,2.21967183
1/2/2022 10:00,2.59E+02,4.80E+02,2.011429462
1/2/2022 11:00,1.43E+02,4.28E+02,1.794720352
1/2/2022 12:00,6.60E+01,3.41E+02,1.621522471
1/2/2022 13:00,9.70E+01,2.33E+02,1.544068044
1/2/2022 14:00,4.10E+01,1.66E+02,1.500602351
1/2/2022 15:00,1.00E+01,1.03E+02,1.885549675
1/2/2022 16:00,1.70E+01,6.23E+01,2.272228506
1/2/2022 17:00,2.00E+01,4.18E+01,2.376576957
1/2/2022 18:00,2.50E+01,3.50E+01,2.468101062
1/2/2022 19:00,7.70E+01,3.17E+01,2.544688022
1/2/2022 20:00,3.12E+02,7.68E+01,2.589204671
1/2/2022 21:00,6.72E+02,1.87E+02,2.619441184
1/2/2022 22:00,3.22E+02,2.38E+02,2.588831726
1/2/2022 23:00,3.55E+02,2.94E+02,2.592361839
1/3/2022 0:00,3.65E+02,3.51E+02,2.607097432
1/3/2022 1:00,3.04E+02,3.88E+02,2.674554976
1/3/2022 2:00,4.80E+02,4.16E+02,2.72916479
1/3/2022 3:00,5.02E+02,3.88E+02,2.724958186
1/3/2022 4:00,3.41E+02,3.91E+02,2.720985744
1/3/2022 5:00,4.36E+02,4.05E+02,2.717254313
1/3/2022 6:00,7.73E+02,4.73E+02,2.685443152
1/3/2022 7:00,6.84E+02,5.36E+02,2.574031268
1/3/2022 8:00,4.49E+02,5.31E+02,2.444305086
1/3/2022 9:00,4.73E+02,5.26E+02,2.318063335
1/3/2022 10:00,3.14E+02,5.22E+02,2.129797271
1/3/2022 11:00,2.15E+02,4.85E+02,1.932811869
1/3/2022 12:00,1.15E+02,3.75E+02,1.728353782
1/3/2022 13:00,1.03E+02,2.78E+02,1.583576586
1/3/2022 14:00,2.80E+01,2.08E+02,1.562292864
1/3/2022 15:00,3.40E+01,1.35E+02,1.947760382
1/3/2022 16:00,1.90E+01,8.57E+01,2.307852455
