date,value,ma_value,lg_ma_value
1/1/2022 12:00,2.10E+06,#N/A,7.547131742
1/1/2022 13:00,4.42E+06,#N/A,7.802492464
1/1/2022 14:00,1.42E+06,#N/A,7.925833299
1/1/2022 15:00,1.74E+06,#N/A,8.009682194
1/1/2022 16:00,2.32E+06,#N/A,8.124413647
1/1/2022 17:00,3.43E+06,#N/A,8.270867675
1/1/2022 18:00,3.93E+07,#N/A,8.31592372
1/1/2022 19:00,8.35E+07,#N/A,8.347763551
1/1/2022 20:00,1.79E+08,3.52E+07,8.344348602
1/1/2022 21:00,2.56E+08,6.35E+07,8.344348602
1/1/2022 22:00,1.92E+08,8.43E+07,8.344348602
1/1/2022 23:00,1.63E+08,1.02E+08,8.450214884
1/2/2022 0:00,2.80E+08,1.33E+08,8.553856068
1/2/2022 1:00,4.83E+08,1.87E+08,8.564902673
1/2/2022 2:00,1.87E+08,2.07E+08,8.568957495
1/2/2022 3:00,1.81E+08,2.23E+08,8.549520944
1/2/2022 4:00,6.78E+07,2.21E+08,8.526037579
1/2/2022 5:00,1.79E+08,2.21E+08,8.541454429
1/2/2022 6:00,2.56E+08,2.21E+08,8.51649571
1/2/2022 7:00,7.41E+08,2.82E+08,8.477199742
1/2/2022 8:00,8.47E+08,3.58E+08,8.338110381
1/2/2022 9:00,3.63E+08,3.67E+08,8.094205898
1/2/2022 10:00,5.14E+08,3.71E+08,7.926163455
1/2/2022 11:00,4.10E+07,3.54E+08,7.585193679
1/2/2022 12:00,1.31E+07,3.36E+08,7.692442486
1/2/2022 13:00,1.77E+08,3.48E+08,7.982365219
1/2/2022 14:00,4.13E+06,3.28E+08,8.01943341
1/2/2022 15:00,2.58E+05,3.00E+08,8.06944485
1/2/2022 16:00,9.49E+05,2.18E+08,8.178912709
1/2/2022 17:00,4.58E+06,1.24E+08,8.220355106
1/2/2022 18:00,4.27E+06,8.44E+07,8.260407982
1/2/2022 19:00,1.01E+08,3.85E+07,8.318063335
1/2/2022 20:00,1.38E+08,4.93E+07,8.311589057
1/2/2022 21:00,4.34E+08,9.60E+07,8.326404141
1/2/2022 22:00,2.54E+08,1.05E+08,8.311353514
